recommendation,import_score,name,alternate_name,watercode,atlas_id,county,location_type,fishery_type,access_class,access_basis,species,property_name,access_ease,fishing_pressure,family_friendly,ice_fishing,boating,atlas_stocked_description,gold_medal,special_opportunity,survey_url,property_url,driving_url,lat,lng,duplicate_atlas_records,species_error
import-high-priority,98,[Purposely Left Blank],Riverbend Pond #2,57756,437,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Crappie: Black | Perch: Yellow,Riverbend Ponds Natural Area,Easy,Medium,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Riverbend Pond #2+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/riverbend,"https://www.google.com/maps/dir//40.5677,-105.0227",40.57650646867769,-105.0311541885573,0,
import-high-priority,98,[Purposely Left Blank],North Shields Pond,53481,13,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Catfish: Channel | Crappie: Unspecified | Sunfish: Bluegill,North Shields Pond Natural Area,Easy,Medium,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+North Shields Pond+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/nshieldspond,"https://www.google.com/maps/dir//40.6059,-105.0971",40.605943754419066,-105.09712503110845,0,
import-high-priority,98,[Purposely Left Blank],Riverbend Pond #1,57249,428,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Crappie: Black | Crappie: White | Perch: Yellow | Sunfish: Green,Riverbend Ponds Natural Area,Easy,Medium,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Riverbend Pond #1+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/riverbend,"https://www.google.com/maps/dir//40.5677,-105.0227",40.57530000872572,-105.02864548592122,0,
import-high-priority,98,[Purposely Left Blank],Riverbend Pond #6,58056,430,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Crappie: Black | Perch: Yellow,Riverbend Ponds Natural Area,Easy,Medium,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Riverbend Pond #6+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/riverbend,"https://www.google.com/maps/dir//40.5677,-105.0227",40.568071593037956,-105.02526704251189,0,
import-high-priority,98,[Purposely Left Blank],Riverbend Pond #7,58057,431,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Catfish: Black Bullhead | Crappie: Black | Perch: Yellow,Riverbend Ponds Natural Area,Easy,Medium,Yes,No,Non-motorized,No,False,,"https://www.google.com/search?q=""fishing report""+Riverbend Pond #7+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/riverbend,"https://www.google.com/maps/dir//40.5677,-105.0227",40.56795875281892,-105.02357630894261,0,
import-high-priority,98,[Purposely Left Blank],Riverbend Pond #4,58051,438,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Carp: Common | Crappie: Black | Perch: Yellow,Riverbend Ponds Natural Area,Easy,Medium,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Riverbend Pond #4+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/riverbend,"https://www.google.com/maps/dir//40.5677,-105.0227",40.5769635764489,-105.0329422366213,0,
import-high-priority,98,[Purposely Left Blank],Prospect Pond #3 South,58075,444,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Carp: Common | Catfish: Channel | Crappie: Black | Crappie: Unspecified | Perch: Yellow | Sunfish: Bluegill,Prospect Ponds Natural Area,Easy,High,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Prospect Pond #3 South+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/prospectponds,"https://www.google.com/maps/dir//40.56,-105.0259",40.55996014373768,-105.0258654785946,0,
import-high-priority,98,[Purposely Left Blank],Arapahoe Bend Beaver Pond,53593,590,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Bass: Wiper | Carp: Common | Catfish: Channel | Crappie: Black | Crappie: White | Perch: Walleye | Perch: Yellow | Sunfish: Bluegill,Arapaho Bend Natural Area,Easy,Medium,Yes,No,Non-motorized,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Arapahoe Bend Beaver Pond+""Larimer County""+Colorado",https://www.fcgov.com/naturalareas/finder/arapaho,"https://www.google.com/maps/dir//40.5269,-104.9996",40.52688761781567,-104.99956763552024,0,
import-high-priority,98,[Purposely Left Blank],Troutman Park Pond,61325,1683,Larimer,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Perch: Yellow | Sunfish: Bluegill | Sunfish: Green,Troutman Park,Easy,Medium,Yes,No,None,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Troutman Park Pond+""Larimer County""+Colorado",https://www.fcgov.com/parks/,"https://www.google.com/maps/dir//40.5303,-105.0859",40.53031424652367,-105.08594802076524,1,
import-high-priority,98,[Purposely Left Blank],Twin Lakes Upper,80034,84,Lake,Water Body,Coldwater,public-indicated,Public-land/property indicator or official property URL is present,Trout: Brown | Trout: Cutbow | Trout: Lake | Trout: Rainbow | Trout: Snake River Cutthroat,San Isabel National Forest,Easy,Medium,Yes,Yes,Motor boats,No,False,,https://cpw.state.co.us/thingstodo/Fishery%20Survey%20Summaries/TwinLakesReservoirs.pdf,https://www.fs.usda.gov/activity/psicc/recreation/fishing,"https://www.google.com/maps/dir//39.0785,-106.3689",39.07847721862704,-106.36886440658677,0,
import-high-priority,98,[Purposely Left Blank],Hugo SWA Pond #4,79521,157,Lincoln,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Catfish: Channel | Sunfish: Bluegill | Sunfish: Green,Hugo SWA,Easy,Low,Yes,Yes,None,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Hugo SWA Pond #4+""Lincoln County""+Colorado",https://cpw.state.co.us/swa/Hugo%20SWA,"https://www.google.com/maps/dir//38.8948,-103.4234",38.93367918434959,-103.42969933254234,0,
import-high-priority,98,[Purposely Left Blank],Bear Creek Pond #2,57227,91,Jefferson,Water Body,Warmwater,public-indicated,Public-land/property indicator or official property URL is present,Bass: Largemouth | Catfish: Channel | Crappie: Black | Sunfish: Bluegill,Bear Creek Greenbelt,Easy,Medium,Yes,No,None,Warmwater,False,,"https://www.google.com/search?q=""fishing report""+Bear Creek Pond #2+""Jefferson County""+Colorado",https://www.lakewood.org/Government/Departments/Community-Resources/Parks-Forestry-and-Open-Space/A-to-Z-Park-Listing/Bear-Creek-Greenbelt-Park,"https://www.google.com/maps/dir//39.6664,-105.0881",39.666356072985614,-105.0881295021776,0,
