published,confidence,water_key,water_name,station_abbrev,station_name,water_source,distance_miles,name_similarity,match_score
True,high,atlas-1323,Uncompahgre River,UNCBRRCO,"UNCOMPAHGRE RIVER BELOW RIDGWAY RESERVOIR, CO",UNCOMPAHGRE RIVER,0.3,1.0,0.972
False,high,atlas-1333,Arkansas River,ARKPUECO,ARKANSAS RIVER ABOVE PUEBLO,ARKANSAS RIVER,0.11,1.0,0.989
False,high,atlas-1333,Arkansas River,1400738A,PUEBLO FISH HATCHERY OUTFLOW,ARKANSAS RIVER,0.5,1.0,0.954
True,high,atlas-1338,Dolores River,DOLDOLCO,DOLORES RIVER AT DOLORES,DOLORES RIVER,0.63,1.0,0.941
False,high,atlas-1359,South Platte River,LNBC10CO,LITTLETON BOAT CHUTE NO 10,SOUTH PLATTE RIVER,1.22,1.0,0.886
False,high,atlas-1359,South Platte River,PLACHACO,SOUTH PLATTE RIVER BELOW CHATFIELD RESERVOIR,SOUTH PLATTE RIVER,2.08,1.0,0.806
False,review,atlas-1372,"South Platte River, North Fork",PLASPLCO,SOUTH PLATTE RIVER AT SOUTH PLATTE,SOUTH PLATTE RIVER,2.78,0.72,0.538
False,review,atlas-1424,South Platte River,PLAGEOCO,"SOUTH PLATTE RIVER NEAR LAKE GEORGE, CO.",SOUTH PLATTE RIVER,2.94,1.0,0.725
False,high,atlas-1432,Animas River,ANIALPCO,"ANIMAS RIVER BLW DURANGO PUMP PLANT NR DURANGO, CO",ANIMAS RIVER,1.03,1.0,0.904
False,high,atlas-1432,Animas River,ANIDURCO,"ANIMAS RIVER AT DURANGO, CO",ANIMAS RIVER,1.25,1.0,0.884
True,high,atlas-1444,San Juan River,SANPAGCO,"SAN JUAN RIVER AT PAGOSA SPRINGS, CO",SAN JUAN RIVER,0.67,1.0,0.937
True,high,atlas-1731,Rifle Creek,RIFRGRCO,RIFLE CREEK BELOW RIFLE GAP RESERVOIR,RIFLE CREEK,0.25,1.0,0.977
False,review,atlas-1731,Rifle Creek,WESRIFCO,WEST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,WEST RIFLE CREEK,1.7,0.6,0.554
False,review,atlas-1731,Rifle Creek,ERIRGRCO,EAST RIFLE CREEK ABOVE RIFLE GAP RESERVOIR,EAST RIFLE CREEK,1.74,0.6,0.55
True,high,atlas-1788,Blue River,BLUNINCO,BLUE RIVER AT HIGHWAY 9 BRIDGE BELOW BRECKENRIDGE,BLUE RIVER,2.18,1.0,0.797
True,high,atlas-1794,Uncompahgre River,UNCBRRCO,"UNCOMPAHGRE RIVER BELOW RIDGWAY RESERVOIR, CO",UNCOMPAHGRE RIVER,0.3,1.0,0.972
True,high,atlas-615,Dolores River,DOLDOLCO,DOLORES RIVER AT DOLORES,DOLORES RIVER,0.63,1.0,0.941
True,high,atlas-653,Yampa River,YAMBSRCO,"YAMPA RIVER BELOW STAGECOACH RESERVOIR, CO",YAMPA RIVER,1.49,1.0,0.861
False,review,atlas-watercode-10241,Boulder Creek,BOCOROCO,"BOULDER CREEK NEAR ORODELL, CO.",BOULDER CREEK,2.94,1.0,0.725
True,high,atlas-watercode-10316,"Boulder Creek, South",BOCPINCO,SOUTH BOULDER CREEK ABOVE GROSS RESERVOIR AT PINECLIFFE,SOUTH BOULDER CREEK,1.14,1.0,0.893
False,review,atlas-watercode-10316,"Boulder Creek, South",BOCBGRCO,SOUTH BOULDER CREEK BELOW GROSS RESERVOIR,SOUTH BOULDER CREEK,2.86,1.0,0.733
True,high,atlas-watercode-10506,Chicago Creek,CHIDEVCO,CHICAGO CREEK BLW DEVILS CANYON NR IDAHO SPRGS C,CHICAGO CREEK,2.14,1.0,0.8
True,high,atlas-watercode-10532,Clear Creek,CLELAWCO,"CLEAR CREEK NEAR LAWSON, CO",CLEAR CREEK,1.41,1.0,0.869
True,high,atlas-watercode-10968,Left Hand Creek,LEFTHOCO,"LEFT HAND CREEK AT HOVER ROAD NEAR LONGMONT, CO",LEFT HAND CREEK,0.62,1.0,0.942
True,high,atlas-watercode-11033,Boulder Creek,BOCBROCO,BOULDER CREEK BELOW BROADWAY STREET,BOULDER CREEK,0.88,1.0,0.918
False,high,atlas-watercode-11033,Boulder Creek,BOCOROCO,"BOULDER CREEK NEAR ORODELL, CO.",BOULDER CREEK,1.93,1.0,0.82
True,high,atlas-watercode-11596,Michigan River,MICWLDCO,"MICHIGAN RIVER AT WALDEN, CO.",MICHIGAN RIVER,1.89,1.0,0.823
False,review,atlas-watercode-11938,"Poudre River, North Fork #5",CLANSECO,NORTH FORK CACHE LA POUDRE RIVER BELOW SEAMAN RESERVOIR,NORTH FORK CACHE LA POUDRE RIVER,0.47,0.655,0.708
False,review,atlas-watercode-11988,"Cache la Poudre River, North Fork",CLANSECO,NORTH FORK CACHE LA POUDRE RIVER BELOW SEAMAN RESERVOIR,NORTH FORK CACHE LA POUDRE RIVER,2.68,1.0,0.75
True,high,atlas-watercode-12168,Middle St. Vrain Creek,MIDSTECO,MIDDLE SAINT VRAIN AT PEACEFUL VALLEY,MIDDLE SAINT VRAIN CREEK,0.09,0.818,0.86
False,review,atlas-watercode-12168,Middle St. Vrain Creek,SSVWARCO,SOUTH SAINT VRAIN NEAR WARD,SOUTH SAINT VRAIN CREEK,2.69,0.562,0.434
